,clean_fin_review
5531,nyc product nyc product buy husband office use give comfert light weight
5532,recieved wrong shade instead order one order grey shade grey sole recieved grey shade white sole like
5533,not good bad product not value money opinion
5534,discomfort one shoe one shoe stort another one fit overall good price please wear check wisely
5535,size issue issue size description not match standard size see review customer well
5536,size small product look good size small size.asked exchange
5537,"pack bad sole pad miss 



 product good sole pad miss pack quality poor time go replace shoes price get hicked....pls work responsibly give worth money plp take"
5539,looks good size issue taper use uk shoe fit perfectly uk doesnt fit front shoe taper hurt big toe also cause blister big toe use one day ok except taper plus marbled floor make squeaky noise dont know though look good
5540,budget comfort good like usually buy le one inch
5541,dont go shoe sturdy not comfy star
5543,satisfied amazon service nice shoes...very comfortable
5544,good good
5545,average product average product
5546,average product fit not expect
5547,easily catch dust comfort wise good easily catch dust
5548,pooor shole quality average shose bottom quality poor
5549,comfortable shoe stitch quality suspect shoe comfortable stitch behind ankle come quickly within one hour usage
5550,good light weight waterproof
5551,decent product light weigh shoe nominal price
5552,three star shoe little heavy
5553,good not good ok..little costly compare quality
5554,nice product light weight look like nice product problem sole...its sole not good long use...after regular use go slippy
5555,bad quality not like look photo
5556,i've never use campus product past think not give try overall good product doubt genuine not becoz paste sole clearly visible seem one brand's work
5557,beautiful use much rough heavy
5558,average average footwear product
5559,confort run poor confort run bad
5560,value money value money
5561,"size confusing,received wrong size product good confusion ant size use uk euro size...i order small,it's use least three four size small...all shoe brand must follow size specifications.i return size else product good"
5562,run small small mention size narrow wasnt show option replace fit size returned.but amazon service regard delivery return product refund process excellent do time
5563,refund alredy return product cart
5564,not comfortable feel like shoe go slip away foot walk may yes running/training i'd give pas
5565,nice not excellent want size product
5566,good price not sure durability yet look good good price offer
5567,toe pain shoe material shoe good light weight not comfortable toe start one hour point light weightness not comfortable face_with_steam_from_nose
5569,quality compromise quality shoe poor many open stitch buy comprised quality less price
5570,ok would better cushion comfortable feeling
5571,average quality sole quality need improve product good look fit sole quality poor sole hardly sustained month
5572,good slight small size nice packing time delivery.i order size shoe seem little bit small seller take care thing lot comment still issue persist.overall good look good budget
5573,okay compare price okay compare price
5574,not good bad length shoe fit alright width match cushion not comfortable either
5575,shoe not soo nice ok price shoe not soo nice ok price want expect nice quality spend money buy good one rather
5576,not bad mrp not mention
5577,average product feel little bit hard gud price
5578,average shoe not big deal average light weight
5579,sole not good overall shoe good not run purpose sole much hard thought
5580,ok not good ok price....not much comfortable...you can't feel relax feel high range brand
5582,okay product product good stitching improve
5583,nice go
5584,good experience shoe order colour deliver use run gym purpose completely fine it!this not used sport like football cricket
5585,good shoe good
5586,shoe deliver without shoe box without box deliver
5587,average product average
5588,good product price range product good term comfort also light weight colour show picture overall nice product price range
5589,average product price average money
5590,comfortable quite comfortable overal ok
5591,not sport style go purpose comfortable light weight best shoe go purpose bad sport
